Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
III Year A Wing,"Jul 31 2025, 23:00:00",49.96,8.76,87.60,753.08,7530.80,0.56,5259740.00,241.24,0.98,1.00,0.23
III Year A Wing,"Jul 31 2025, 22:00:00",50.03,8.53,85.30,752.85,7528.50,0.56,5259510.00,240.90,0.98,1.00,0.23
III Year A Wing,"Jul 31 2025, 21:00:00",50.06,8.30,83.00,752.62,7526.20,0.56,5259280.00,238.27,0.98,1.00,0.23
III Year A Wing,"Jul 31 2025, 20:00:00",50.10,8.06,80.60,752.38,7523.80,0.56,5259040.00,241.62,0.97,1.00,0.23
III Year A Wing,"Jul 31 2025, 19:00:00",50.07,7.83,78.30,752.15,7521.50,0.56,5258810.00,240.54,0.99,1.00,0.23
III Year A Wing,"Jul 31 2025, 18:00:00",50.09,7.75,77.50,752.07,7520.70,0.56,5258730.00,242.72,0.28,0.78,0.05
III Year A Wing,"Jul 31 2025, 17:00:00",50.03,7.67,76.70,751.99,7519.90,0.56,5258650.00,242.13,0.29,0.79,0.05
III Year A Wing,"Jul 31 2025, 16:00:00",49.91,7.39,73.90,751.71,7517.10,0.56,5258370.00,238.35,2.91,0.96,0.66
III Year A Wing,"Jul 31 2025, 15:00:00",50.04,6.68,66.80,751.00,7510.00,0.56,5257660.00,242.19,4.55,0.99,1.08
III Year A Wing,"Jul 31 2025, 14:00:00",50.02,5.69,56.90,750.01,7500.10,0.56,5256670.00,242.00,3.36,0.98,0.79
III Year A Wing,"Jul 31 2025, 13:00:00",50.31,4.93,49.30,749.25,7492.50,0.56,5255910.00,242.60,3.26,0.99,0.88
III Year A Wing,"Jul 31 2025, 12:00:00",50.15,4.14,41.40,748.46,7484.60,0.56,5255120.00,238.95,3.25,0.99,0.76
III Year A Wing,"Jul 31 2025, 11:00:00",50.06,3.38,33.80,747.70,7477.00,0.56,5254360.00,236.90,3.28,0.99,0.76
III Year A Wing,"Jul 31 2025, 10:00:00",50.17,2.60,26.00,746.92,7469.20,0.56,5253580.00,237.22,4.21,0.99,0.99
III Year A Wing,"Jul 31 2025, 09:00:00",50.05,1.61,16.10,745.93,7459.30,0.56,5252590.00,237.92,4.24,0.99,1.00
III Year A Wing,"Jul 31 2025, 08:00:00",50.07,1.13,11.30,745.45,7454.50,0.56,5252110.00,241.18,1.82,0.99,0.43
III Year A Wing,"Jul 31 2025, 07:00:00",49.96,1.06,10.60,745.38,7453.80,0.56,5252040.00,243.84,0.25,-0.97,0.06
III Year A Wing,"Jul 31 2025, 06:00:00",50.05,1.00,10.00,745.32,7453.20,0.56,5251980.00,239.58,0.25,-0.97,0.06
III Year A Wing,"Jul 31 2025, 05:00:00",50.06,0.85,8.50,745.17,7451.70,0.56,5251830.00,243.69,0.71,-0.98,0.17
III Year A Wing,"Jul 31 2025, 04:00:00",50.04,0.68,6.80,745.00,7450.00,0.56,5251660.00,244.89,0.71,-0.98,0.17
III Year A Wing,"Jul 31 2025, 03:00:00",50.00,0.51,5.10,744.83,7448.30,0.56,5251490.00,243.97,0.71,-0.98,0.17
III Year A Wing,"Jul 31 2025, 02:00:00",50.02,0.34,3.40,744.66,7446.60,0.56,5251320.00,243.64,0.71,-0.98,0.17
III Year A Wing,"Jul 31 2025, 01:00:00",49.98,0.18,1.80,744.50,7445.00,0.56,5251160.00,242.41,0.71,-0.98,0.17
III Year A Wing,"Jul 31 2025, 00:00:00",50.05,0.01,0.10,744.33,7443.30,0.56,5250990.00,240.69,0.72,-0.99,0.17
III Year A Wing,"Jul 30 2025, 23:00:00",49.98,744.16,7441.60,744.16,7441.60,0.56,5250820.00,241.48,0.72,-0.98,0.17
III Year A Wing,"Jul 30 2025, 22:00:00",50.09,743.99,7439.90,743.99,7439.90,0.56,5250650.00,240.69,0.72,-0.99,0.17
III Year A Wing,"Jul 30 2025, 21:00:00",50.08,743.81,7438.10,743.81,7438.10,0.56,5250470.00,240.78,0.05,1.00,0.01
III Year A Wing,"Jul 30 2025, 20:00:00",50.08,743.81,7438.10,743.81,7438.10,0.56,5250470.00,244.60,0.04,1.00,0.00
III Year A Wing,"Jul 30 2025, 19:00:00",50.02,743.80,7438.00,743.80,7438.00,0.56,5250460.00,242.28,0.04,1.00,0.01
III Year A Wing,"Jul 30 2025, 18:00:00",50.06,743.79,7437.90,743.79,7437.90,0.56,5250450.00,243.49,0.05,1.00,0.01
III Year A Wing,"Jul 30 2025, 17:00:00",50.10,743.79,7437.90,743.79,7437.90,0.56,5250450.00,245.11,0.05,1.00,0.01
III Year A Wing,"Jul 30 2025, 16:00:00",50.05,743.72,7437.20,743.72,7437.20,0.56,5250380.00,241.24,1.47,0.97,0.34
III Year A Wing,"Jul 30 2025, 15:00:00",49.93,742.92,7429.20,742.92,7429.20,0.56,5249580.00,241.02,6.35,1.00,1.52
