Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor
III Year B-Wing,"Jul 31 2025, 23:00:00",49.97,11.69,116.90,584.12,5841.20,0.44,4181650.00,238.07,0.58,0.94
III Year B-Wing,"Jul 31 2025, 22:00:00",50.05,11.56,115.60,583.99,5839.90,0.44,4181520.00,237.30,0.57,0.95
III Year B-Wing,"Jul 31 2025, 20:00:00",50.10,11.31,113.10,583.74,5837.40,0.44,4181270.00,238.70,0.58,0.95
III Year B-Wing,"Jul 31 2025, 19:00:00",50.07,11.17,111.70,583.60,5836.00,0.44,4181130.00,236.73,0.57,0.95
III Year B-Wing,"Jul 31 2025, 18:00:00",50.13,11.04,110.40,583.47,5834.70,0.44,4181000.00,240.80,0.58,0.95
III Year B-Wing,"Jul 31 2025, 17:00:00",49.99,10.91,109.10,583.34,5833.40,0.44,4180870.00,241.97,0.59,0.94
III Year B-Wing,"Jul 31 2025, 15:00:00",50.04,9.87,98.70,582.30,5823.00,0.44,4179830.00,236.83,6.83,-1.00
III Year B-Wing,"Jul 31 2025, 14:00:00",50.05,8.28,82.80,580.71,5807.10,0.44,4178239.75,233.90,6.78,-1.00
III Year B-Wing,"Jul 31 2025, 13:00:00",50.31,6.73,67.30,579.16,5791.60,0.43,4176690.00,237.16,4.67,-1.00
III Year B-Wing,"Jul 31 2025, 12:00:00",50.19,5.79,57.90,578.22,5782.20,0.43,4175750.00,238.79,3.67,-1.00
III Year B-Wing,"Jul 31 2025, 11:00:00",50.06,5.21,52.10,577.64,5776.40,0.43,4175170.00,241.52,1.96,1.00
III Year B-Wing,"Jul 31 2025, 10:00:00",50.18,4.36,43.60,576.79,5767.90,0.43,4174319.75,237.83,4.46,-1.00
III Year B-Wing,"Jul 31 2025, 09:00:00",50.04,3.13,31.30,575.56,5755.60,0.43,4173089.75,230.07,8.86,-1.00
III Year B-Wing,"Jul 31 2025, 08:00:00",50.06,1.26,12.60,573.69,5736.90,0.43,4171219.75,235.33,2.98,-1.00
III Year B-Wing,"Jul 31 2025, 07:00:00",49.95,0.93,9.30,573.36,5733.60,0.43,4170889.75,239.99,0.58,0.94
III Year B-Wing,"Jul 31 2025, 06:00:00",50.05,0.80,8.00,573.23,5732.30,0.43,4170759.75,238.51,0.58,0.95
III Year B-Wing,"Jul 31 2025, 05:00:00",50.05,0.67,6.70,573.10,5731.00,0.43,4170630.00,240.57,0.58,0.94
III Year B-Wing,"Jul 31 2025, 04:00:00",50.05,0.54,5.40,572.97,5729.70,0.43,4170500.00,241.78,0.58,0.94
III Year B-Wing,"Jul 31 2025, 03:00:00",49.97,0.40,4.00,572.83,5728.30,0.43,4170359.75,240.47,0.58,0.94
III Year B-Wing,"Jul 31 2025, 01:00:00",49.99,0.14,1.40,572.57,5725.70,0.43,4170100.00,240.11,0.58,0.94
III Year B-Wing,"Jul 31 2025, 00:00:00",50.01,0.01,0.10,572.44,5724.40,0.43,4169969.75,239.51,0.58,0.94
III Year B-Wing,"Jul 30 2025, 23:00:00",49.99,572.31,5723.10,572.31,5723.10,0.43,4169839.75,238.40,0.58,0.94
III Year B-Wing,"Jul 30 2025, 22:00:00",50.08,572.18,5721.80,572.18,5721.80,0.43,4169710.00,238.00,0.58,0.95
III Year B-Wing,"Jul 30 2025, 21:00:00",50.07,571.93,5719.30,571.93,5719.30,0.43,4169460.00,237.07,0.58,0.95
III Year B-Wing,"Jul 30 2025, 20:00:00",50.07,571.80,5718.00,571.80,5718.00,0.43,4169330.00,241.39,0.58,0.94
III Year B-Wing,"Jul 30 2025, 19:00:00",50.03,571.66,5716.60,571.66,5716.60,0.43,4169190.00,238.49,0.58,0.95
III Year B-Wing,"Jul 30 2025, 18:00:00",50.03,571.53,5715.30,571.53,5715.30,0.43,4169060.00,240.82,0.58,0.94
III Year B-Wing,"Jul 30 2025, 17:00:00",50.08,571.40,5714.00,571.40,5714.00,0.43,4168929.75,243.94,0.59,0.94
III Year B-Wing,"Jul 30 2025, 16:00:00",50.06,571.27,5712.70,571.27,5712.70,0.43,4168799.75,242.97,0.59,0.95
III Year B-Wing,"Jul 30 2025, 15:00:00",49.96,570.73,5707.30,570.73,5707.30,0.43,4168259.75,240.22,3.66,-1.00
