Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
EM Lab 1-Wing,"Jul 31 2025, 23:00:00",49.98,6.95,69.50,117.54,1175.40,0.09,1760660.00,238.51,0.12,-0.99,0.03
EM Lab 1-Wing,"Jul 31 2025, 22:00:00",50.04,6.92,69.20,117.51,1175.10,0.09,1760630.00,240.02,0.12,-0.99,0.03
EM Lab 1-Wing,"Jul 31 2025, 21:00:00",50.05,6.89,68.90,117.48,1174.80,0.09,1760600.00,236.04,0.12,-0.98,0.03
EM Lab 1-Wing,"Jul 31 2025, 20:00:00",50.09,6.86,68.60,117.45,1174.50,0.09,1760570.00,241.88,0.12,-0.98,0.03
EM Lab 1-Wing,"Jul 31 2025, 19:00:00",50.07,6.83,68.30,117.42,1174.20,0.09,1760540.00,240.60,0.12,-0.98,0.03
EM Lab 1-Wing,"Jul 31 2025, 18:00:00",50.15,6.82,68.20,117.41,1174.10,0.09,1760530.00,241.09,0.00,1.00,0.00
EM Lab 1-Wing,"Jul 31 2025, 17:00:00",50.00,6.82,68.20,117.41,1174.10,0.09,1760530.00,239.79,0.00,1.00,0.00
EM Lab 1-Wing,"Jul 31 2025, 16:00:00",49.91,6.82,68.20,117.41,1174.10,0.09,1760530.00,237.99,0.00,1.00,0.00
EM Lab 1-Wing,"Jul 31 2025, 15:00:00",50.03,5.59,55.90,116.18,1161.80,0.09,1759300.00,228.45,10.16,-1.00,2.30
EM Lab 1-Wing,"Jul 31 2025, 14:00:00",50.01,3.30,33.00,113.89,1138.90,0.09,1757010.00,227.36,10.04,-1.00,2.27
EM Lab 1-Wing,"Jul 31 2025, 13:00:00",50.31,1.06,10.60,111.65,1116.50,0.08,1754770.00,231.20,10.01,-1.00,2.30
EM Lab 1-Wing,"Jul 31 2025, 12:00:00",50.16,0.17,1.70,110.76,1107.60,0.08,1753880.00,229.95,0.00,1.00,0.00
EM Lab 1-Wing,"Jul 31 2025, 10:00:00",50.17,0.17,1.70,110.76,1107.60,0.08,1753880.00,225.06,0.00,1.00,0.00
