Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,RYB Phase Voltage,Line Voltage,Average Current,Power Factor,Average Power,RYB Phase Current,RYB Phase Power,RYB Phase PF
EM Lab-2 (3 Phase),"Jul 31 2025, 23:00:00",49.98,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 235.61, Y: 242.37, B: 238.55",413.48,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 22:00:00",50.04,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 234.38, Y: 240.79, B: 238.55",411.96,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 21:00:00",50.05,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 232.21, Y: 238.29, B: 234.94",407.17,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 20:00:00",50.09,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 235.13, Y: 241.36, B: 239.40",413.29,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 19:00:00",50.07,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 234.38, Y: 238.32, B: 237.06",409.65,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 18:00:00",50.09,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 236.42, Y: 237.62, B: 242.18",413.83,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 17:00:00",50.01,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 237.24, Y: 240.97, B: 239.72",414.70,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 15:00:00",50.04,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 235.13, Y: 240.54, B: 234.06",409.93,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 14:00:00",50.04,9.63,96.30,141.81,1418.10,0.11,4947168.00,"R: 232.48, Y: 236.51, B: 228.21",401.99,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Jul 31 2025, 12:00:00",50.16,9.50,95.00,141.69,1416.90,0.11,4947047.00,"R: 237.08, Y: 251.13, B: 245.70",423.63,1.49,0.71,0.78,"R: 1.42, Y: 1.53, B: 1.53","R: 240.39, Y: 257.00, B: 286.30","R: 0.00, Y: 0.00, B: 0.00"
