Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
Seminar Hall-Wing,"Jul 31 2025, 23:00:00",49.98,19.28,192.80,365.44,3654.40,0.27,4978929.50,239.29,2.08,44564,0.45
Seminar Hall-Wing,"Jul 31 2025, 22:00:00",50.03,18.77,187.70,364.93,3649.30,0.27,4978420.00,239.30,2.45,42992,0.53
Seminar Hall-Wing,"Jul 31 2025, 21:00:00",50.06,18.24,182.40,364.40,3644.00,0.27,4977889.50,237.95,2.44,59769,0.52
Seminar Hall-Wing,"Jul 31 2025, 20:00:00",50.09,17.72,177.20,363.88,3638.80,0.27,4977370.00,239.28,2.43,42992,0.52
Seminar Hall-Wing,"Jul 31 2025, 19:00:00",50.07,17.19,171.90,363.35,3633.50,0.27,4976840.00,236.96,2.44,44564,0.53
Seminar Hall-Wing,"Jul 31 2025, 18:00:00",50.10,16.73,167.30,362.89,3628.90,0.27,4976380.00,241.55,2.15,7340,0.44
Seminar Hall-Wing,"Jul 31 2025, 17:00:00",49.97,16.33,163.30,362.49,3624.90,0.27,4975980.00,243.18,1.58,3670,0.35
Seminar Hall-Wing,"Jul 31 2025, 16:00:00",49.90,16.00,160.00,362.16,3621.60,0.27,4975650.00,240.40,1.02,47710,0.22
Seminar Hall-Wing,"Jul 31 2025, 15:00:00",50.03,15.55,155.50,361.71,3617.10,0.27,4975199.50,242.61,2.80,25690,0.67
Seminar Hall-Wing,"Jul 31 2025, 14:00:00",50.01,14.89,148.90,361.05,3610.50,0.27,4974540.00,243.06,2.79,25690,0.67
Seminar Hall-Wing,"Jul 31 2025, 13:00:00",50.28,14.22,142.20,360.38,3603.80,0.27,4973870.00,241.43,2.79,42467,0.66
Seminar Hall-Wing,"Jul 31 2025, 12:00:00",50.15,13.34,133.40,359.50,3595.00,0.27,4972989.50,238.73,7.70,48759,1.83
Seminar Hall-Wing,"Jul 31 2025, 11:00:00",50.07,11.55,115.50,357.71,3577.10,0.27,4971199.50,240.35,7.56,48759,1.81
Seminar Hall-Wing,"Jul 31 2025, 10:00:00",50.15,10.51,105.10,356.67,3566.70,0.27,4970159.50,242.74,2.81,25690,0.67
Seminar Hall-Wing,"Jul 31 2025, 09:00:00",50.06,10.06,100.60,356.22,3562.20,0.27,4969710.00,237.16,1.64,41943,0.37
Seminar Hall-Wing,"Jul 31 2025, 08:00:00",50.06,9.46,94.60,355.62,3556.20,0.27,4969110.00,237.54,2.82,8913,0.66
Seminar Hall-Wing,"Jul 31 2025, 07:00:00",49.96,9.27,92.70,355.43,3554.30,0.27,4968920.00,242.03,0.23,15204,0.06
Seminar Hall-Wing,"Jul 31 2025, 06:00:00",50.06,9.21,92.10,355.37,3553.70,0.27,4968860.00,239.35,0.23,63963,0.06
Seminar Hall-Wing,"Jul 31 2025, 05:00:00",50.06,9.14,91.40,355.30,3553.00,0.27,4968790.00,242.94,0.33,30409,0.08
Seminar Hall-Wing,"Jul 31 2025, 04:00:00",50.06,9.06,90.60,355.22,3552.20,0.27,4968710.00,244.45,0.32,13631,0.08
Seminar Hall-Wing,"Jul 31 2025, 03:00:00",49.99,8.98,89.80,355.14,3551.40,0.27,4968630.00,242.98,0.33,30409,0.08
Seminar Hall-Wing,"Jul 31 2025, 02:00:00",50.02,8.90,89.00,355.06,3550.60,0.27,4968550.00,242.03,0.33,47186,0.08
Seminar Hall-Wing,"Jul 31 2025, 01:00:00",50.00,8.82,88.20,354.98,3549.80,0.27,4968469.50,241.45,0.32,30409,0.08
Seminar Hall-Wing,"Jul 31 2025, 00:00:00",50.05,8.71,87.10,354.87,3548.70,0.27,4968360.00,240.50,0.69,45613,0.16
Seminar Hall-Wing,"Jul 30 2025, 23:00:00",49.99,18.36,183.60,354.71,3547.10,0.27,4968199.50,240.27,1.01,47186,0.24
Seminar Hall-Wing,"Jul 30 2025, 22:00:00",50.08,18.12,181.20,354.47,3544.70,0.27,4967960.00,239.61,1.01,63963,0.24
Seminar Hall-Wing,"Jul 30 2025, 21:00:00",50.06,17.88,178.80,354.23,3542.30,0.27,4967719.50,238.90,1.01,63963,0.24
Seminar Hall-Wing,"Jul 30 2025, 20:00:00",50.06,17.64,176.40,353.99,3539.90,0.27,4967480.00,243.74,1.00,47186,0.24
Seminar Hall-Wing,"Jul 30 2025, 19:00:00",50.03,17.46,174.60,353.81,3538.10,0.27,4967300.00,240.45,0.69,62390,0.16
Seminar Hall-Wing,"Jul 30 2025, 18:00:00",50.04,17.29,172.90,353.64,3536.40,0.27,4967130.00,241.82,0.69,45613,0.16
Seminar Hall-Wing,"Jul 30 2025, 17:00:00",50.09,17.08,170.80,353.43,3534.30,0.27,4966920.00,244.63,1.21,58720,0.28
Seminar Hall-Wing,"Jul 30 2025, 16:00:00",50.07,16.80,168.00,353.15,3531.50,0.26,4966639.50,242.92,1.01,29360,0.22
Seminar Hall-Wing,"Jul 30 2025, 15:00:00",49.94,16.27,162.70,352.62,3526.20,0.26,4966110.00,241.51,2.80,57672,0.66
Seminar Hall-Wing,"Jul 30 2025, 13:00:00",50.07,15.03,150.30,351.38,3513.80,0.26,4964870.00,242.86,2.80,25690,0.67
Seminar Hall-Wing,"Jul 30 2025, 11:00:00",50.11,14.00,140.00,350.35,3503.50,0.26,4963840.00,244.80,1.65,23593,0.38
Seminar Hall-Wing,"Jul 30 2025, 09:00:00",50.02,13.01,130.10,349.36,3493.60,0.26,4962850.00,240.27,2.80,42467,0.66
Seminar Hall-Wing,"Jul 30 2025, 06:00:00",50.05,12.06,120.60,348.41,3484.10,0.26,4961900.00,243.46,0.00,0,0.00
Seminar Hall-Wing,"Jul 30 2025, 05:00:00",50.04,11.68,116.80,348.03,3480.30,0.26,4961520.00,240.66,2.12,12583,0.46
Seminar Hall-Wing,"Jul 30 2025, 04:00:00",50.07,11.22,112.20,347.57,3475.70,0.26,4961060.00,241.41,2.11,61342,0.46
Seminar Hall-Wing,"Jul 30 2025, 03:00:00",49.99,10.76,107.60,347.11,3471.10,0.26,4960600.00,241.76,2.12,61342,0.46
Seminar Hall-Wing,"Jul 30 2025, 00:00:00",50.00,9.39,93.90,345.74,3457.40,0.26,4959230.00,241.51,2.11,44564,0.46
Seminar Hall-Wing,"Jul 29 2025, 23:00:00",49.95,17.61,176.10,345.24,3452.40,0.26,4958730.00,241.89,2.48,9437,0.54
Seminar Hall-Wing,"Jul 29 2025, 22:00:00",50.03,17.08,170.80,344.71,3447.10,0.26,4958199.50,237.21,2.46,44564,0.53
Seminar Hall-Wing,"Jul 29 2025, 21:00:00",49.98,16.54,165.40,344.17,3441.70,0.26,4957659.50,238.67,2.46,27787,0.53
Seminar Hall-Wing,"Jul 29 2025, 20:00:00",49.91,16.01,160.10,343.64,3436.40,0.26,4957130.00,240.07,2.46,42992,0.53
Seminar Hall-Wing,"Jul 29 2025, 19:00:00",50.05,15.50,155.00,343.13,3431.30,0.26,4956620.00,239.27,2.51,12583,0.54
Seminar Hall-Wing,"Jul 29 2025, 18:00:00",50.09,14.96,149.60,342.59,3425.90,0.26,4956080.00,244.01,2.50,59769,0.55
Seminar Hall-Wing,"Jul 29 2025, 17:00:00",50.00,14.56,145.60,342.19,3421.90,0.26,4955679.50,242.85,1.64,23593,0.37
Seminar Hall-Wing,"Jul 29 2025, 16:00:00",50.06,14.19,141.90,341.82,3418.20,0.26,4955310.00,242.03,1.63,23593,0.37
Seminar Hall-Wing,"Jul 29 2025, 15:00:00",50.06,13.67,136.70,341.30,3413.00,0.26,4954790.00,243.27,2.81,25690,0.67
Seminar Hall-Wing,"Jul 29 2025, 14:00:00",49.99,13.19,131.90,340.82,3408.20,0.26,4954310.00,244.10,1.64,6816,0.37
Seminar Hall-Wing,"Jul 29 2025, 13:00:00",50.16,12.83,128.30,340.46,3404.60,0.26,4953949.50,243.12,1.64,40370,0.37
Seminar Hall-Wing,"Jul 29 2025, 12:00:00",50.01,12.31,123.10,339.94,3399.40,0.25,4953429.50,237.72,2.74,42467,0.64
Seminar Hall-Wing,"Jul 29 2025, 11:00:00",50.07,11.65,116.50,339.28,3392.80,0.25,4952770.00,243.07,2.77,8913,0.66
Seminar Hall-Wing,"Jul 29 2025, 10:00:00",50.08,11.03,110.30,338.66,3386.60,0.25,4952150.00,243.46,2.76,8913,0.66
Seminar Hall-Wing,"Jul 29 2025, 09:00:00",50.10,10.36,103.60,337.99,3379.90,0.25,4951480.00,239.24,2.82,59245,0.66
Seminar Hall-Wing,"Jul 29 2025, 07:00:00",50.03,9.51,95.10,337.14,3371.40,0.25,4950630.00,238.50,0.31,47186,0.07
Seminar Hall-Wing,"Jul 29 2025, 06:00:00",49.98,9.45,94.50,337.08,3370.80,0.25,4950570.00,238.82,0.30,63963,0.07
