Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Line Voltage,Power Factor,Average Power
II Year B-Wing,"Aug 31 2025, 23:00:00",50.00,0.79,7.90,229.14,2291.40,0.17,5911520.00,241.62,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 22:00:00",50.00,0.75,7.50,229.10,2291.00,0.17,5911480.00,239.98,0.15,-0.99,0.03
II Year B-Wing,"Aug 31 2025, 21:00:00",49.96,0.72,7.20,229.07,2290.70,0.17,5911450.00,240.98,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 20:00:00",50.04,0.68,6.80,229.03,2290.30,0.17,5911410.00,239.08,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 19:00:00",50.11,0.65,6.50,229.00,2290.00,0.17,5911380.00,239.79,0.15,-1.00,0.04
II Year B-Wing,"Aug 31 2025, 18:00:00",50.03,0.61,6.10,228.96,2289.60,0.17,5911340.00,242.50,0.15,-1.00,0.04
II Year B-Wing,"Aug 31 2025, 17:00:00",49.91,0.58,5.80,228.93,2289.30,0.17,5911310.00,242.31,0.15,-1.00,0.04
II Year B-Wing,"Aug 31 2025, 16:00:00",49.96,0.54,5.40,228.89,2288.90,0.17,5911270.00,243.00,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 15:00:00",49.99,0.51,5.10,228.86,2288.60,0.17,5911240.00,241.19,0.14,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 14:00:00",50.16,0.47,4.70,228.82,2288.20,0.17,5911200.00,243.24,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 13:00:00",50.26,0.44,4.40,228.79,2287.90,0.17,5911170.00,242.39,0.14,-0.99,0.03
II Year B-Wing,"Aug 31 2025, 12:00:00",50.09,0.40,4.00,228.75,2287.50,0.17,5911130.00,243.42,0.14,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 11:00:00",50.06,0.37,3.70,228.72,2287.20,0.17,5911100.00,241.98,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 10:00:00",50.05,0.33,3.30,228.68,2286.80,0.17,5911060.00,241.31,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 09:00:00",50.02,0.30,3.00,228.65,2286.50,0.17,5911030.00,242.60,0.15,-1.00,0.04
II Year B-Wing,"Aug 31 2025, 08:00:00",50.06,0.26,2.60,228.61,2286.10,0.17,5910990.00,242.10,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 06:00:00",50.03,0.19,1.90,228.54,2285.40,0.17,5910920.00,242.14,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 05:00:00",50.02,0.15,1.50,228.50,2285.00,0.17,5910880.00,240.84,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 04:00:00",50.00,0.12,1.20,228.47,2284.70,0.17,5910850.00,244.43,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 03:00:00",50.01,0.08,0.80,228.43,2284.30,0.17,5910810.00,243.57,0.16,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 02:00:00",50.06,0.05,0.50,228.40,2284.00,0.17,5910780.00,242.75,0.15,-0.99,0.04
II Year B-Wing,"Aug 31 2025, 01:00:00",50.00,0.03,0.30,228.38,2283.80,0.17,5910760.00,237.95,0.14,-0.99,0.03
II Year B-Wing,"Aug 31 2025, 00:00:00",50.01,33.57,335.70,261.85,2618.50,0.20,5910730.00,240.75,0.14,-0.99,0.03
II Year B-Wing,"Aug 30 2025, 23:00:00",50.02,9.78,97.80,228.32,2283.20,0.17,5910700.00,243.09,0.15,-1.00,0.04
