Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
IV Year A-Wing,"Aug 31 2025, 23:00:00",49.99,27.86,278.60,164.38,1643.80,0.12,2047470.00,239.69,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 22:00:00",49.99,27.86,278.60,164.38,1643.80,0.12,2047470.00,238.21,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 21:00:00",49.98,27.86,278.60,164.38,1643.80,0.12,2047470.00,238.53,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 20:00:00",50.05,27.86,278.60,164.38,1643.80,0.12,2047470.00,237.68,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 19:00:00",50.07,27.86,278.60,164.38,1643.80,0.12,2047470.00,237.86,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 18:00:00",50.00,27.86,278.60,164.38,1643.80,0.12,2047470.00,240.10,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 17:00:00",49.96,27.86,278.60,164.38,1643.80,0.12,2047470.00,241.77,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 16:00:00",49.95,27.86,278.60,164.38,1643.80,0.12,2047470.00,240.51,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 15:00:00",49.98,27.86,278.60,164.38,1643.80,0.12,2047470.00,239.11,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 14:00:00",50.15,27.86,278.60,164.38,1643.80,0.12,2047470.00,242.59,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 13:00:00",50.28,27.86,278.60,164.38,1643.80,0.12,2047470.00,242.05,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 12:00:00",50.10,27.86,278.60,164.38,1643.80,0.12,2047470.00,241.01,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 11:00:00",50.05,27.86,278.60,164.38,1643.80,0.12,2047470.00,240.93,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 10:00:00",50.05,27.86,278.60,164.38,1643.80,0.12,2047470.00,239.40,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 09:00:00",50.02,27.86,278.60,164.38,1643.80,0.12,2047470.00,241.01,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 08:00:00",50.06,27.86,278.60,164.38,1643.80,0.12,2047470.00,239.93,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 07:00:00",50.05,27.86,278.60,164.38,1643.80,0.12,2047470.00,238.93,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 05:00:00",50.01,27.86,278.60,164.38,1643.80,0.12,2047470.00,238.95,0.00,1.00,0.00
IV Year A-Wing,"Aug 31 2025, 04:00:00",50.00,27.86,278.60,164.38,1643.80,0.12,2047470.00,241.94,0.00,1.00,0.00
