Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
IV Year B-Wing,"Aug 31 2025, 23:00:00",49.99,272.21,2722.10,1134,11340.00,0.85,1415830.00,240.72,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 22:00:00",49.99,272.21,2722.10,1134,11340.00,0.85,1415830.00,237.99,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 21:00:00",49.98,272.21,2722.10,1134,11340.00,0.85,1415830.00,238.57,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 20:00:00",50.05,272.21,2722.10,1134,11340.00,0.85,1415830.00,237.08,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 19:00:00",50.07,272.21,2722.10,1134,11340.00,0.85,1415830.00,237.59,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 18:00:00",49.99,272.21,2722.10,1134,11340.00,0.85,1415830.00,241.72,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 17:00:00",49.95,272.21,2722.10,1134,11340.00,0.85,1415830.00,243.45,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 16:00:00",49.95,272.21,2722.10,1134,11340.00,0.85,1415830.00,242.38,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 15:00:00",49.99,272.21,2722.10,1134,11340.00,0.85,1415830.00,241.12,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 14:00:00",50.16,272.21,2722.10,1134,11340.00,0.85,1415830.00,244.45,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 13:00:00",50.27,272.21,2722.10,1134,11340.00,0.85,1415830.00,244.30,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 12:00:00",50.09,272.21,2722.10,1134,11340.00,0.85,1415830.00,242.98,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 11:00:00",50.05,272.21,2722.10,1134,11340.00,0.85,1415830.00,240.74,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 10:00:00",50.06,272.21,2722.10,1134,11340.00,0.85,1415830.00,241.16,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 09:00:00",50.02,272.21,2722.10,1134,11340.00,0.85,1415830.00,242.01,0.00,1.00,0.00
IV Year B-Wing,"Aug 31 2025, 08:00:00",50.06,272.21,2722.10,1134,11340.00,0.85,1415830.00,240.82,0.00,1.00,0.00
