Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
APE Lab,"Aug 31 2025, 23:00:00",50.02,13.75,137.50,571.70,5717.00,0.43,8095340.00,239.41,2.51,-1.00,0.60
APE Lab,"Aug 31 2025, 22:00:00",50.01,13.16,131.60,571.11,5711.10,0.43,8094750.00,237.53,2.51,-1.00,0.59
APE Lab,"Aug 31 2025, 21:00:00",49.98,12.56,125.60,570.51,5705.10,0.43,8094150.00,237.87,2.50,-1.00,0.59
APE Lab,"Aug 31 2025, 20:00:00",50.04,11.98,119.80,569.93,5699.30,0.43,8093570.00,236.86,2.51,-1.00,0.59
APE Lab,"Aug 31 2025, 19:00:00",50.08,11.38,113.80,569.33,5693.30,0.43,8092970.00,235.79,2.50,-1.00,0.59
APE Lab,"Aug 31 2025, 18:00:00",50.04,10.78,107.80,568.73,5687.30,0.43,8092370.00,239.42,2.52,-1.00,0.60
APE Lab,"Aug 31 2025, 17:00:00",49.92,10.17,101.70,568.12,5681.20,0.43,8091760.00,240.94,2.52,-1.00,0.61
APE Lab,"Aug 31 2025, 16:00:00",49.94,9.57,95.70,567.52,5675.20,0.43,8091160.00,239.78,2.52,-1.00,0.60
APE Lab,"Aug 31 2025, 15:00:00",49.98,8.97,89.70,566.92,5669.20,0.43,8090560.00,238.55,2.51,-1.00,0.60
APE Lab,"Aug 31 2025, 14:00:00",50.14,8.37,83.70,566.32,5663.20,0.42,8089960.00,241.40,2.53,-1.00,0.61
APE Lab,"Aug 31 2025, 13:00:00",50.27,7.76,77.60,565.71,5657.10,0.42,8089350.00,241.57,2.54,-1.00,0.61
APE Lab,"Aug 31 2025, 12:00:00",50.09,7.15,71.50,565.10,5651.00,0.42,8088740.00,240.74,2.52,-1.00,0.61
APE Lab,"Aug 31 2025, 11:00:00",50.04,6.55,65.50,564.50,5645.00,0.42,8088140.00,240.69,2.53,-1.00,0.61
APE Lab,"Aug 31 2025, 10:00:00",50.05,5.94,59.40,563.89,5638.90,0.42,8087530.00,239.22,2.51,-1.00,0.60
APE Lab,"Aug 31 2025, 09:00:00",50.03,5.35,53.50,563.30,5633.00,0.42,8086940.00,240.75,2.52,-1.00,0.61
APE Lab,"Aug 31 2025, 08:00:00",50.05,4.74,47.40,562.69,5626.90,0.42,8086330.00,239.32,2.52,-1.00,0.60
APE Lab,"Aug 31 2025, 07:00:00",50.04,4.14,41.40,562.09,5620.90,0.42,8085730.00,238.53,2.51,-1.00,0.60
APE Lab,"Aug 31 2025, 06:00:00",50.02,3.55,35.50,561.50,5615.00,0.42,8085140.00,239.70,2.53,-1.00,0.60
APE Lab,"Aug 31 2025, 05:00:00",50.00,2.95,29.50,560.90,5609.00,0.42,8084540.00,238.75,2.51,-1.00,0.60
APE Lab,"Aug 31 2025, 03:00:00",50.00,1.74,17.40,559.69,5596.90,0.42,8083330.00,240.96,2.53,-1.00,0.61
APE Lab,"Aug 31 2025, 02:00:00",50.08,1.15,11.50,559.10,5591.00,0.42,8082740.00,240.78,2.52,-1.00,0.61
APE Lab,"Aug 31 2025, 00:00:00",49.98,0.02,0.20,557.97,5579.70,0.42,8081610.00,239.96,2.52,-1.00,0.60
APE Lab,"Aug 30 2025, 23:00:00",50.02,20.31,203.10,557.38,5573.80,0.42,8081020.00,242.10,2.52,-1.00,0.61
APE Lab,"Aug 30 2025, 22:00:00",50.03,19.72,197.20,556.79,5567.90,0.42,8080430.00,239.50,2.52,-1.00,0.60
APE Lab,"Aug 30 2025, 21:00:00",50.04,19.11,191.10,556.18,5561.80,0.42,8079820.00,238.68,2.51,-1.00,0.60
APE Lab,"Aug 30 2025, 20:00:00",50.05,18.50,185.00,555.57,5555.70,0.42,8079210.00,241.31,2.52,-1.00,0.61
APE Lab,"Aug 30 2025, 19:00:00",50.05,17.90,179.00,554.97,5549.70,0.42,8078610.00,242.61,2.53,-1.00,0.61
APE Lab,"Aug 30 2025, 18:00:00",49.94,17.29,172.90,554.36,5543.60,0.42,8078000.00,241.45,2.53,-1.00,0.61
APE Lab,"Aug 30 2025, 17:00:00",49.89,16.66,166.60,553.73,5537.30,0.42,8077370.00,237.99,2.50,-1.00,0.59
APE Lab,"Aug 30 2025, 16:00:00",50.06,16.06,160.60,553.13,5531.30,0.41,8076770.00,237.63,2.82,-1.00,0.67
APE Lab,"Aug 30 2025, 15:00:00",50.05,15.25,152.50,552.32,5523.20,0.41,8075960.00,239.88,6.32,-1.00,1.51
APE Lab,"Aug 30 2025, 14:00:00",50.10,13.76,137.60,550.83,5508.30,0.41,8074470.00,237.57,6.54,-1.00,1.54
APE Lab,"Aug 30 2025, 13:00:00",50.22,12.22,122.20,549.29,5492.90,0.41,8072930.00,238.63,6.32,-1.00,1.50
APE Lab,"Aug 30 2025, 12:00:00",49.99,10.74,107.40,547.81,5478.10,0.41,8071450.00,235.62,6.45,-1.00,1.51
APE Lab,"Aug 30 2025, 11:00:00",50.01,9.21,92.10,546.28,5462.80,0.41,8069920.00,232.77,6.18,-1.00,1.43
APE Lab,"Aug 30 2025, 10:00:00",50.05,7.74,77.40,544.81,5448.10,0.41,8068450.00,232.08,6.49,-1.00,1.50
APE Lab,"Aug 30 2025, 09:00:00",49.98,6.21,62.10,543.28,5432.80,0.41,8066920.00,231.62,6.44,-1.00,1.48
APE Lab,"Aug 30 2025, 08:00:00",50.04,4.81,48.10,541.88,5418.80,0.41,8065520.00,240.19,2.96,-1.00,0.71
APE Lab,"Aug 30 2025, 07:00:00",50.03,4.22,42.20,541.29,5412.90,0.41,8064930.00,238.27,2.29,-1.00,0.55
