Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
EC LAB,"Aug 31 2025, 23:00:00",49.99,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.78,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 22:00:00",49.99,28.64,286.40,150.87,1508.70,0.11,2153270.00,238.25,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 21:00:00",49.98,28.64,286.40,150.87,1508.70,0.11,2153270.00,238.55,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 20:00:00",50.05,28.64,286.40,150.87,1508.70,0.11,2153270.00,237.77,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 19:00:00",50.07,28.64,286.40,150.87,1508.70,0.11,2153270.00,237.82,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 18:00:00",50.00,28.64,286.40,150.87,1508.70,0.11,2153270.00,240.17,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 17:00:00",49.95,28.64,286.40,150.87,1508.70,0.11,2153270.00,241.85,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 16:00:00",49.95,28.64,286.40,150.87,1508.70,0.11,2153270.00,240.53,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 15:00:00",49.98,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.06,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 14:00:00",50.15,28.64,286.40,150.87,1508.70,0.11,2153270.00,242.43,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 13:00:00",50.28,28.64,286.40,150.87,1508.70,0.11,2153270.00,242.07,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 12:00:00",50.10,28.64,286.40,150.87,1508.70,0.11,2153270.00,241.08,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 11:00:00",50.05,28.64,286.40,150.87,1508.70,0.11,2153270.00,240.91,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 10:00:00",50.06,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.53,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 09:00:00",50.02,28.64,286.40,150.87,1508.70,0.11,2153270.00,241.11,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 08:00:00",50.06,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.98,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 07:00:00",50.05,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.02,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 06:00:00",50.02,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.91,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 05:00:00",50.01,28.64,286.40,150.87,1508.70,0.11,2153270.00,239.02,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 04:00:00",50.00,28.64,286.40,150.87,1508.70,0.11,2153270.00,241.99,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 03:00:00",50.01,28.64,286.40,150.87,1508.70,0.11,2153270.00,241.44,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 02:00:00",50.06,28.64,286.40,150.87,1508.70,0.11,2153270.00,240.93,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 01:00:00",49.99,28.64,286.40,150.87,1508.70,0.11,2153270.00,236.37,0.00,1.00,0.00
EC LAB,"Aug 31 2025, 00:00:00",50.01,28.64,286.40,150.87,1508.70,0.11,2153270.00,240.43,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 23:00:00",50.04,4.49,44.90,122.23,1222.30,0.09,2153270.00,242.67,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 22:00:00",50.02,4.49,44.90,122.23,1222.30,0.09,2153270.00,239.96,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 21:00:00",50.03,4.49,44.90,122.23,1222.30,0.09,2153270.00,239.21,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 20:00:00",50.04,4.49,44.90,122.23,1222.30,0.09,2153270.00,241.72,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 19:00:00",50.05,4.49,44.90,122.23,1222.30,0.09,2153270.00,243.10,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 18:00:00",49.96,4.30,43.00,122.04,1220.40,0.09,2153079.75,241.83,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 17:00:00",49.87,4.21,42.10,121.95,1219.50,0.09,2152990.00,238.66,0.54,1.00,0.13
EC LAB,"Aug 30 2025, 16:00:00",50.06,4.01,40.10,121.75,1217.50,0.09,2152790.00,238.07,0.96,-1.00,0.23
EC LAB,"Aug 30 2025, 15:00:00",50.06,3.62,36.20,121.36,1213.60,0.09,2152400.00,240.66,2.27,1.00,0.55
EC LAB,"Aug 30 2025, 13:00:00",50.23,2.42,24.20,120.16,1201.60,0.09,2151200.00,239.20,2.29,-0.99,0.54
EC LAB,"Aug 30 2025, 12:00:00",49.99,1.78,17.80,119.52,1195.20,0.09,2150560.00,236.02,2.70,1.00,0.63
EC LAB,"Aug 30 2025, 11:00:00",50.01,1.30,13.00,119.04,1190.40,0.09,2150079.75,232.88,1.92,-1.00,0.44
EC LAB,"Aug 30 2025, 10:00:00",50.04,0.94,9.40,118.68,1186.80,0.09,2149720.00,235.12,1.58,0.99,0.36
EC LAB,"Aug 30 2025, 09:00:00",49.99,0.37,3.70,118.11,1181.10,0.09,2149150.00,233.10,2.11,-1.00,0.49
EC LAB,"Aug 30 2025, 08:00:00",50.04,0.05,0.50,117.79,1177.90,0.09,2148829.75,240.82,0.08,1.00,0.02
EC LAB,"Aug 30 2025, 07:00:00",50.01,24.15,241.50,141.89,1418.90,0.11,2148780.00,238.70,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 06:00:00",50.05,24.15,241.50,141.89,1418.90,0.11,2148780.00,239.16,0.00,1.00,0.00
EC LAB,"Aug 30 2025, 05:00:00",50.08,24.15,241.50,141.89,1418.90,0.11,2148780.00,242.00,0.00,1.00,0.00
