Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,RYB Phase Voltage,Line Voltage,Average Current,Power Factor,Average Power,RYB Phase Current,RYB Phase Power,RYB Phase PF
EM Lab-2 (3 Phase),"Aug 31 2025, 23:00:00",49.99,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 237.06, Y: 240.03, B: 239.83",413.89,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 21:00:00",49.96,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 236.98, Y: 236.73, B: 238.77",411.38,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 20:00:00",50.04,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 235.06, Y: 234.57, B: 237.36",407.96,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 19:00:00",50.08,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 235.54, Y: 236.61, B: 238.28",410.13,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 18:00:00",50.03,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 238.49, Y: 237.91, B: 242.88",415.36,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 17:00:00",49.90,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 240.72, Y: 243.46, B: 243.74",420.30,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 16:00:00",49.95,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 240.42, Y: 244.19, B: 244.15",420.40,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 15:00:00",49.99,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 239.43, Y: 243.52, B: 244.20",419.71,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 14:00:00",50.15,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 246.56, Y: 255.16, B: 253.83",435.48,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
EM Lab-2 (3 Phase),"Aug 31 2025, 13:00:00",50.25,602.57,6025.70,954.79,9547.90,0.72,5302274.00,"R: 251.39, Y: 258.93, B: 256.44",440.14,0.00,nan,0.00,"R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00","R: 0.00, Y: 0.00, B: 0.00"
