Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
MI Lab Wing,"Aug 31 2025, 23:00:00",50.02,2.94,29.40,238.29,2382.90,0.18,4182949.75,241.10,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 22:00:00",50.02,2.81,28.10,238.16,2381.60,0.18,4182819.75,240.26,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 21:00:00",49.98,2.68,26.80,238.03,2380.30,0.18,4182690.00,241.17,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 20:00:00",50.06,2.55,25.50,237.90,2379.00,0.18,4182560.00,239.89,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 19:00:00",50.07,2.43,24.30,237.78,2377.80,0.18,4182440.00,240.51,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 18:00:00",50.00,2.30,23.00,237.65,2376.50,0.18,4182310.00,243.34,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 17:00:00",49.88,2.17,21.70,237.52,2375.20,0.18,4182179.75,243.59,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 16:00:00",49.94,2.04,20.40,237.39,2373.90,0.18,4182049.75,242.14,0.59,0.92,0.13
MI Lab Wing,"Aug 31 2025, 15:00:00",50.00,1.91,19.10,237.26,2372.60,0.18,4181920.00,240.54,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 14:00:00",50.14,1.78,17.80,237.13,2371.30,0.18,4181790.00,242.74,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 13:00:00",50.25,1.65,16.50,237.00,2370.00,0.18,4181659.75,243.28,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 12:00:00",50.09,1.52,15.20,236.87,2368.70,0.18,4181529.75,244.05,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 11:00:00",50.05,1.39,13.90,236.74,2367.40,0.18,4181400.00,242.41,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 10:00:00",50.05,1.26,12.60,236.61,2366.10,0.18,4181270.00,241.07,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 09:00:00",50.03,1.13,11.30,236.48,2364.80,0.18,4181139.75,242.44,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 08:00:00",50.06,1.01,10.10,236.36,2363.60,0.18,4181020.00,241.65,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 07:00:00",50.05,0.88,8.80,236.23,2362.30,0.18,4180889.75,240.97,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 06:00:00",50.00,0.75,7.50,236.10,2361.00,0.18,4180759.75,242.16,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 05:00:00",50.02,0.62,6.20,235.97,2359.70,0.18,4180630.00,241.18,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 04:00:00",50.00,0.49,4.90,235.84,2358.40,0.18,4180500.00,243.92,0.58,0.92,0.13
MI Lab Wing,"Aug 31 2025, 03:00:00",50.01,0.36,3.60,235.71,2357.10,0.18,4180370.00,243.46,0.59,0.92,0.13
MI Lab Wing,"Aug 31 2025, 02:00:00",50.05,0.24,2.40,235.59,2355.90,0.18,4180250.00,242.83,0.58,0.92,0.13
