Device Name,Time,Frequency,Today kWh,Today Cost,Month kWh,Month Cost,tCO2,Energy kWh,Line Voltage,Average Current,Power Factor,Average Power
Seminar Hall-Wing,"Aug 31 2025, 23:00:00",50.02,2.59,25.90,274.75,2747.50,0.21,5254120.00,242.01,0.70,42467,0.17
Seminar Hall-Wing,"Aug 31 2025, 21:00:00",49.96,2.26,22.60,274.42,2744.20,0.21,5253790.00,241.03,0.71,25690,0.17
Seminar Hall-Wing,"Aug 31 2025, 20:00:00",50.04,2.11,21.10,274.27,2742.70,0.21,5253640.00,239.34,0.38,28836,0.09
Seminar Hall-Wing,"Aug 31 2025, 19:00:00",50.08,2.02,20.20,274.18,2741.80,0.21,5253550.00,239.84,0.38,12059,0.09
Seminar Hall-Wing,"Aug 31 2025, 18:00:00",50.00,1.96,19.60,274.12,2741.20,0.21,5253490.00,242.43,0.00,0,0.00
Seminar Hall-Wing,"Aug 31 2025, 17:00:00",49.94,1.88,18.80,274.04,2740.40,0.21,5253410.00,242.73,0.66,4194,0.15
Seminar Hall-Wing,"Aug 31 2025, 16:00:00",49.96,1.72,17.20,273.88,2738.80,0.21,5253250.00,243.03,0.66,4194,0.15
Seminar Hall-Wing,"Aug 31 2025, 15:00:00",49.99,1.57,15.70,273.73,2737.30,0.21,5253100.00,241.30,0.66,20972,0.15
Seminar Hall-Wing,"Aug 31 2025, 14:00:00",50.14,1.42,14.20,273.58,2735.80,0.21,5252950.00,242.92,0.66,20972,0.15
Seminar Hall-Wing,"Aug 31 2025, 13:00:00",50.28,1.27,12.70,273.43,2734.30,0.21,5252800.00,242.77,0.66,37749,0.15
Seminar Hall-Wing,"Aug 31 2025, 12:00:00",50.09,1.20,12.00,273.36,2733.60,0.21,5252730.00,243.66,0.00,0,0.00
Seminar Hall-Wing,"Aug 31 2025, 11:00:00",50.04,1.20,12.00,273.36,2733.60,0.21,5252730.00,241.96,0.00,0,0.00
Seminar Hall-Wing,"Aug 31 2025, 10:00:00",50.06,1.20,12.00,273.36,2733.60,0.21,5252730.00,241.51,0.05,0,0.01
Seminar Hall-Wing,"Aug 31 2025, 09:00:00",50.02,1.19,11.90,273.35,2733.50,0.21,5252720.00,242.97,0.05,0,0.01
Seminar Hall-Wing,"Aug 31 2025, 08:00:00",50.05,1.17,11.70,273.33,2733.30,0.20,5252700.00,242.33,0.05,0,0.01
Seminar Hall-Wing,"Aug 31 2025, 07:00:00",50.05,1.16,11.60,273.32,2733.20,0.20,5252690.00,241.88,0.05,0,0.01
Seminar Hall-Wing,"Aug 31 2025, 06:00:00",50.01,1.11,11.10,273.27,2732.70,0.20,5252640.00,241.97,0.69,22544,0.16
Seminar Hall-Wing,"Aug 31 2025, 04:00:00",50.00,0.79,7.90,272.95,2729.50,0.20,5252320.00,244.47,0.70,5767,0.16
Seminar Hall-Wing,"Aug 31 2025, 03:00:00",50.01,0.63,6.30,272.79,2727.90,0.20,5252160.00,243.67,0.70,22544,0.16
Seminar Hall-Wing,"Aug 31 2025, 02:00:00",50.06,0.46,4.60,272.62,2726.20,0.20,5251990.00,242.83,1.04,47186,0.25
Seminar Hall-Wing,"Aug 31 2025, 01:00:00",50.01,0.23,2.30,272.39,2723.90,0.20,5251760.00,237.94,1.05,47186,0.25
Seminar Hall-Wing,"Aug 31 2025, 00:00:00",50.01,0.01,0.10,272.17,2721.70,0.20,5251540.00,240.77,0.99,30409,0.23
Seminar Hall-Wing,"Aug 30 2025, 23:00:00",50.04,12.47,124.70,271.96,2719.60,0.20,5251330.00,243.68,0.97,13631,0.23
Seminar Hall-Wing,"Aug 30 2025, 22:00:00",50.00,12.23,122.30,271.72,2717.20,0.20,5251090.00,240.47,0.98,30409,0.23
Seminar Hall-Wing,"Aug 30 2025, 21:00:00",50.03,12.00,120.00,271.49,2714.90,0.20,5250860.00,239.49,0.98,30409,0.23
Seminar Hall-Wing,"Aug 30 2025, 20:00:00",50.05,11.76,117.60,271.25,2712.50,0.20,5250620.00,241.99,0.98,30409,0.23
