EEE DEPARTMENT Analytics


Total kWh,Total tCO2,AVG kWh,Total Cost
16753.7,13.23,558.5,167537
      

Device Name,kWh,tCO2,Date Range,Cost
EM Lab-2 (3 Phase),5891.4,4.38,01/09/2025 to 30/09/2025,58914.0
EM Lab 1-Wing,4299.2,3.19,01/09/2025 to 30/09/2025,42991.9
IV Year B-Wing,3206.8,2.36,01/09/2025 to 30/09/2025,32067.5
IV Year A-Wing,882.6,0.61,01/09/2025 to 30/09/2025,8825.9
APE Lab,549.2,0.79,01/09/2025 to 30/09/2025,5492.4
EC LAB,506.8,0.32,01/09/2025 to 30/09/2025,5067.5
III Year A Wing,337.4,0.26,01/09/2025 to 30/09/2025,3373.9
III Year B-Wing,311.3,0.44,01/09/2025 to 30/09/2025,3113.3
Seminar Hall-Wing,281.7,0.24,01/09/2025 to 30/09/2025,2816.9
MI Lab Wing,251.2,0.41,01/09/2025 to 30/09/2025,2512.0
II Year B-Wing,236.1,0.23,01/09/2025 to 30/09/2025,2361.2
EM Lab II,0.0,0.00,01/09/2025 to 30/09/2025,0.0
Workshop-Wing,0.0,0.00,01/09/2025 to 30/09/2025,0.0
